id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
1082615,Pune,22-04-2017,Mahendra Singh Dhoni,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,6,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Rising Pune Supergiant
1082616,Rajkot,23-04-2017,Hashim Amla,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,Kings XI Punjab,runs,26,,Anil Chaudhary,Marais Erasmus,0,0,0,0,Gujarat Lions
1082617,Kolkata,23-04-2017,Nathan Coulter-Nile,Eden Gardens,0,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,82,,Chris Gaffaney,C. K. Nandan,0,0,0,0,Kolkata Knight Riders
1082618,Mumbai,24-04-2017,Ben Stokes,Wankhede Stadium,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,3,,Nand Kishore,Sundaram Ravi,0,0,0,0,Mumbai Indians
1082620,Pune,26-04-2017,Robin Uthappa,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,,Anil Dandekar,Nigel Llong,0,0,0,0,Rising Pune Supergiant
1082621,Bangalore,27-04-2017,Andrew Tye,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,7,,Anil Chaudhary,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082622,Kolkata,28-04-2017,Gautam Gambhir,Eden Gardens,0,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,,Nigel Llong,Sundaram Ravi,0,0,0,0,Kolkata Knight Riders
1082623,Chandigarh,28-04-2017,Rashid Khan,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,field,Sunrisers Hyderabad,runs,26,,Nitin Menon,C. K. Nandan,0,0,0,0,Kings XI Punjab
1082624,Pune,29-04-2017,Lockie Ferguson,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,runs,61,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Rising Pune Supergiant
1082625,Rajkot,29-04-2017,Krunal Pandya,Saurashtra Cricket Association Stadium,0,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,tie,,,Anil Chaudhary,Chris Gaffaney,0,0,0,0,Gujarat Lions
1082626,Chandigarh,30-04-2017,Sandeep Sharma,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Delhi Capitals,Kings XI Punjab,field,Kings XI Punjab,wickets,10,,Yeshwant Barde,C. K. Nandan,0,0,0,0,Kings XI Punjab
1082627,Hyderabad,30-04-2017,David Warner,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,runs,48,,Anil Dandekar,Sundaram Ravi,0,0,0,0,Sunrisers Hyderabad
1082628,Mumbai,01-05-2017,Rohit Sharma,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Mumbai Indians,wickets,5,,Anil Chaudhary,Chris Gaffaney,0,0,0,0,Mumbai Indians
1082629,Pune,01-05-2017,Ben Stokes,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,5,,Marais Erasmus,Chettithody Shamshuddin,0,0,0,0,Rising Pune Supergiant
1082630,Delhi,02-05-2017,Mohammed Shami,Arun Jaitley Stadium,0,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,wickets,6,,Yeshwant Barde,Nitin Menon,0,0,0,0,Delhi Capitals
1082631,Kolkata,03-05-2017,Rahul Tripathi,Eden Gardens,0,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,4,,K. N. Ananthapadmanabhan,Nand Kishore,0,0,0,0,Kolkata Knight Riders
1082632,Delhi,04-05-2017,Rishabh Pant,Arun Jaitley Stadium,0,Delhi Capitals,Gujarat Lions,Delhi Capitals,field,Delhi Capitals,wickets,7,,Marais Erasmus,Nitin Menon,0,0,0,0,Delhi Capitals
1082633,Bangalore,05-05-2017,Sandeep Sharma,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,Kings XI Punjab,runs,19,,Chris Gaffaney,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082634,Hyderabad,06-05-2017,Jaydev Unadkat,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,field,Rising Pune Supergiant,runs,12,,K. N. Ananthapadmanabhan,Anil Chaudhary,0,0,0,0,Sunrisers Hyderabad
1082635,Delhi,06-05-2017,Lendl Simmons,Arun Jaitley Stadium,0,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,Mumbai Indians,runs,146,,Nitin Menon,C. K. Nandan,0,0,0,0,Delhi Capitals
1082636,Bangalore,07-05-2017,Sunil Narine,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,,Anil Dandekar,Chettithody Shamshuddin,0,0,0,0,Royal Challengers Bangalore
1082637,Chandigarh,07-05-2017,Dwayne Smith,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,wickets,6,,Nand Kishore,Virender Sharma,0,0,0,0,Kings XI Punjab
1082638,Hyderabad,08-05-2017,Shikhar Dhawan,Rajiv Gandhi International Stadium,0,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,Sunrisers Hyderabad,wickets,7,,K. N. Ananthapadmanabhan,Marais Erasmus,0,0,0,0,Sunrisers Hyderabad
1082639,Chandigarh,09-05-2017,Mohit Sharma,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab,runs,14,,Nand Kishore,Sundaram Ravi,0,0,0,0,Kings XI Punjab
1082640,Kanpur,10-05-2017,Shreyas Iyer,Green Park Stadium,0,Gujarat Lions,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,2,,Yeshwant Barde,Anil Chaudhary,0,0,0,0,Gujarat Lions
1082641,Mumbai,11-05-2017,Wriddhiman Saha,Wankhede Stadium,0,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,Kings XI Punjab,runs,7,,Abhijit Deshmukh,Nand Kishore,0,0,0,0,Mumbai Indians
1082642,Delhi,12-05-2017,Karun Nair,Arun Jaitley Stadium,0,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,bat,Delhi Capitals,runs,7,,K. N. Ananthapadmanabhan,C. K. Nandan,0,0,0,0,Delhi Capitals
1082643,Kanpur,13-05-2017,Mohammed Siraj,Green Park Stadium,0,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,,Anil Chaudhary,Nitin Menon,0,0,0,0,Gujarat Lions
1082644,Kolkata,13-05-2017,Ambati Rayudu,Eden Gardens,0,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,Mumbai Indians,runs,9,,Nand Kishore,Sundaram Ravi,0,0,0,0,Kolkata Knight Riders
1082645,Pune,14-05-2017,Jaydev Unadkat,Maharashtra Cricket Association Stadium,0,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,field,Rising Pune Supergiant,wickets,9,,Anil Dandekar,Abhijit Deshmukh,0,0,0,0,Rising Pune Supergiant
1082646,Delhi,14-05-2017,Harshal Patel,Arun Jaitley Stadium,0,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,10,,C. K. Nandan,Chettithody Shamshuddin,0,0,0,0,Delhi Capitals
1082647,Mumbai,16-05-2017,Washington Sundar,Wankhede Stadium,0,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,field,Rising Pune Supergiant,runs,20,,Sundaram Ravi,Chettithody Shamshuddin,1,0,1,0,Mumbai Indians
1082648,Bangalore,17-05-2017,Nathan Coulter-Nile,M.Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,D/L,Anil Chaudhary,Nitin Menon,1,1,0,0,
1082649,Bangalore,19-05-2017,Karn Sharma,M.Chinnaswamy Stadium,1,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Mumbai Indians,wickets,6,,Nigel Llong,Nitin Menon,1,0,1,0,
